Timestamp,X Position,Y Position
2024-03-27T00:29:34.490Z,676,1019
2024-03-27T00:29:34.762Z,962,905
2024-03-27T00:29:34.962Z,456,948
2024-03-27T00:29:35.163Z,186,852
2024-03-27T00:29:35.274Z,184,852
2024-03-27T00:29:36.034Z,300,337
2024-03-27T00:29:36.283Z,318,218
2024-03-27T00:29:36.467Z,311,141
2024-03-27T00:29:37.098Z,602,142
2024-03-27T00:29:38.474Z,825,170
2024-03-27T00:29:38.706Z,1164,154
2024-03-27T00:29:38.899Z,1173,211
2024-03-27T00:29:39.490Z,420,257
2024-03-27T00:29:39.651Z,344,257
2024-03-27T00:29:39.899Z,250,408
2024-03-27T00:29:40.050Z,196,420
2024-03-27T00:29:40.202Z,155,344
2024-03-27T00:29:40.363Z,155,242
2024-03-27T00:29:40.547Z,203,165
2024-03-27T00:29:40.843Z,229,116
2024-03-27T00:29:41.090Z,347,142
2024-03-27T00:29:41.243Z,598,260
2024-03-27T00:29:41.970Z,749,1312
2024-03-27T00:29:42.106Z,749,1312
2024-03-27T00:29:42.634Z,268,1571
2024-03-27T00:29:42.771Z,268,1571
2024-03-27T00:29:43.354Z,713,1495
2024-03-27T00:29:45.026Z,1049,1486
2024-03-27T00:29:45.162Z,1049,1486
2024-03-27T00:29:45.402Z,1167,1361
2024-03-27T00:29:45.570Z,1211,1360
2024-03-27T00:29:45.746Z,1211,1360
2024-03-27T00:29:45.994Z,547,1442
2024-03-27T00:29:46.410Z,400,1392
2024-03-27T00:29:46.578Z,400,1392
2024-03-27T00:29:46.778Z,286,1383
2024-03-27T00:29:46.932Z,276,1378
2024-03-27T00:29:47.074Z,241,1372
2024-03-27T00:29:47.314Z,253,1461
2024-03-27T00:29:47.546Z,285,1488
2024-03-27T00:29:47.722Z,305,1461
2024-03-27T00:29:47.947Z,567,1449
2024-03-27T00:29:48.059Z,567,1449
2024-03-27T00:29:48.250Z,677,1442
2024-03-27T00:29:48.578Z,986,1574